# {"t_start": 1575202316.0718935, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
241.0,1497,411.884596
52.0,1125,706.095833
78.0,1297,1045.191343
31.0,905,1281.56799
366.0,2124,1841.44915
98.0,1422,2219.527155
421.0,3517,3153.956482
350.0,1805,3631.232952
390.0,1871,4123.307024
127.0,1150,4428.208598
326.0,1754,4893.41469
377.0,2377,5524.423887
86.0,1381,5892.359008
382.0,1968,6414.434296
358.0,2568,7096.399452
248.0,1780,7568.300098
709.0,6268,9248.997467
423.0,2680,9954.569009
52.0,953,10204.203795
167.0,1683,10647.041808
183.0,1649,11080.37328
217.0,1103,11368.637723
416.0,3468,12286.387667
315.0,1955,12802.965065
417.0,2794,13541.11354
282.0,1918,14054.611231
264.0,1631,14488.83903
379.0,3116,15325.860048
434.0,5131,16708.05969
428.0,2536,17388.523282
413.0,2570,18079.196177
382.0,1969,18605.986837
485.0,3636,19580.215734
367.0,2388,20217.819741
451.0,3472,21148.031394
741.0,7918,23271.91154
419.0,3201,24126.617506
295.0,2145,24699.882284
839.0,8745,27023.286962
420.0,2893,27784.322338
