# {"t_start": 1574337897.1072118, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,127,40.106842
0.0,129,70.162907
2.0,184,114.374317
0.0,125,141.223387
0.0,129,170.621928
2.0,204,219.325308
1.0,157,255.034078
0.0,127,283.503726
0.0,127,312.074908
4.0,301,383.487559
0.0,125,411.512066
2.0,202,458.140986
0.0,129,487.36165
3.0,250,546.631633
0.0,129,575.666289
0.0,127,604.781019
0.0,129,633.570436
10.0,452,743.888241
0.0,129,772.535161
2.0,224,825.617115
0.0,127,854.204986
1.0,172,893.751886
0.0,127,922.556579
0.0,129,951.814606
0.0,123,977.787433
10.0,434,1083.661475
0.0,127,1111.886838
4.0,297,1182.004353
6.0,400,1278.395474
2.0,202,1324.793262
0.0,127,1353.166263
0.0,129,1381.877089
2.0,200,1429.223511
0.0,129,1456.836054
2.0,200,1504.443313
4.0,297,1575.070273
0.0,125,1603.147839
5.0,350,1688.354465
10.0,454,1798.044442
9.0,404,1895.895499
3.0,268,1959.112367
0.0,125,1987.131254
0.0,127,2015.465675
0.0,129,2044.485293
3.0,271,2109.597838
5.0,350,2192.910377
5.0,350,2277.111837
0.0,129,2306.079524
0.0,129,2334.949393
8.0,352,2418.29332
0.0,129,2447.295327
5.0,352,2531.893599
2.0,200,2577.432781
4.0,261,2639.07101
0.0,125,2666.835005
1.0,175,2706.337298
0.0,125,2734.17378
9.0,404,2831.847554
8.0,296,2902.302869
2.0,183,2944.306967
1.0,155,2979.028999
8.0,467,3092.364316
13.0,372,3179.270027
3.0,218,3231.007324
1.0,173,3269.748643
7.0,394,3363.621247
8.0,438,3468.504733
6.0,348,3550.681626
1.0,177,3590.256878
11.0,271,3653.943119
8.0,447,3762.593883
5.0,309,3835.551951
14.0,581,3975.718722
8.0,281,4043.159061
19.0,443,4149.073364
16.0,326,4225.495059
19.0,666,4386.806882
5.0,318,4463.146629
5.0,331,4540.442433
5.0,316,4615.551199
8.0,422,4716.497477
11.0,475,4830.063836
11.0,518,4954.591643
14.0,530,5080.135322
17.0,623,5230.269105
14.0,385,5322.685482
14.0,646,5478.838157
19.0,728,5654.498679
16.0,572,5790.399478
14.0,555,5922.4024
21.0,522,6046.743964
5.0,295,6115.639158
11.0,550,6248.740909
8.0,455,6355.98589
20.0,594,6496.778586
10.0,561,6630.90514
13.0,563,6765.086873
12.0,608,6913.166261
14.0,597,7055.036189
9.0,446,7160.946398
16.0,455,7268.196
14.0,584,7408.830759
17.0,709,7579.012546
17.0,696,7746.493548
15.0,612,7893.480267
17.0,678,8057.234059
17.0,658,8215.489105
20.0,658,8373.858501
21.0,692,8539.195651
31.0,682,8705.197303
10.0,492,8821.076527
16.0,605,8967.01168
16.0,603,9112.109849
26.0,776,9298.081709
23.0,440,9401.528689
24.0,720,9573.219232
17.0,677,9734.970825
11.0,423,9834.257652
24.0,776,10020.257009
20.0,595,10162.198007
18.0,716,10333.118629
22.0,645,10487.337708
31.0,808,10681.184188
29.0,608,10826.936112
22.0,653,10982.80855
19.0,762,11162.789244
28.0,844,11366.888069
17.0,754,11546.372422
19.0,660,11704.480434
14.0,665,11863.761645
27.0,660,12022.785866
9.0,473,12133.104531
26.0,899,12348.063095
28.0,678,12509.852677
17.0,471,12620.895864
12.0,607,12767.932011
24.0,823,12965.707297
13.0,660,13123.173014
24.0,689,13288.684578
23.0,837,13489.512174
15.0,708,13658.547784
15.0,629,13808.795748
21.0,874,14019.523839
21.0,715,14189.602216
40.0,1076,14447.520301
22.0,634,14598.252852
24.0,720,14772.799764
25.0,751,14954.924213
24.0,759,15136.12645
35.0,924,15359.961382
38.0,866,15568.062641
25.0,792,15758.621183
24.0,753,15940.616364
29.0,892,16157.928322
29.0,553,16288.157761
43.0,1096,16553.567125
24.0,753,16733.327486
33.0,874,16943.794371
31.0,920,17164.886913
37.0,991,17405.765893
27.0,842,17609.089019
26.0,814,17805.669603
53.0,1345,18130.731293
46.0,1125,18401.56614
26.0,817,18597.848316
43.0,897,18813.794437
31.0,977,19047.857966
49.0,1088,19309.198921
60.0,1029,19556.597033
30.0,967,19789.655085
68.0,1152,20064.883556
12.0,565,20199.264803
23.0,674,20359.451597
50.0,1218,20652.441558
34.0,883,20865.519034
53.0,1095,21130.233882
74.0,1632,21525.062684
47.0,1225,21822.072069
27.0,874,22032.424673
40.0,1102,22298.376594
28.0,862,22507.534725
21.0,884,22720.825618
65.0,1385,23053.445753
41.0,989,23289.633987
44.0,919,23510.819876
53.0,1452,23860.339585
52.0,1382,24195.196273
81.0,1367,24526.432439
76.0,1528,24898.218856
113.0,1795,25334.699558
89.0,1613,25728.815973
41.0,859,25935.990736
29.0,650,26091.55794
128.0,1439,26439.617994
56.0,1248,26741.531609
125.0,1510,27109.142412
82.0,1438,27454.584314
87.0,1611,27845.093103
176.0,1820,28284.011522
92.0,1409,28624.308033
155.0,1409,28964.802975
56.0,895,29180.410646
119.0,1490,29542.887049
108.0,1481,29899.247582
183.0,1368,30229.816494
290.0,1637,30627.580312
73.0,1408,30969.427311
56.0,1012,31212.135977
264.0,1976,31693.049701
152.0,1730,32111.423331
125.0,1606,32500.792297
68.0,1250,32802.650019
212.0,1475,33157.785689
91.0,1401,33494.673727
274.0,1855,33942.734721
47.0,1161,34221.520552
155.0,1922,34687.103331
92.0,1394,35023.523359
289.0,2341,35592.497171
89.0,1428,35934.54672
291.0,1863,36385.45891
286.0,1757,36811.535897
135.0,1545,37186.370863
110.0,1428,37530.096378
89.0,1221,37822.549639
249.0,1679,38228.617449
156.0,1976,38706.054917
205.0,1945,39176.269353
64.0,1083,39436.36316
162.0,1432,39782.422498
301.0,1556,40156.92917
169.0,1555,40529.044859
274.0,1670,40934.049339
244.0,1697,41344.754631
111.0,1604,41732.095082
216.0,1733,42147.91577
280.0,1633,42543.026836
50.0,1327,42864.498545
165.0,1639,43258.955137
198.0,1552,43634.52118
324.0,1885,44089.270941
233.0,1301,44402.535039
283.0,1711,44816.026664
267.0,1516,45181.096481
327.0,1622,45570.965252
299.0,1665,45975.140151
345.0,2101,46483.710511
255.0,1595,46867.903783
312.0,1910,47330.011182
142.0,1473,47685.182708
298.0,1523,48050.704397
272.0,1027,48297.723339
63.0,1412,48636.755959
316.0,2085,49141.289119
287.0,1775,49570.356314
310.0,2020,50060.613531
318.0,2040,50555.239588
314.0,2029,51045.469598
351.0,2444,51638.474416
291.0,1958,52114.252772
323.0,1427,52456.796197
339.0,1919,52919.83897
275.0,1639,53314.781351
300.0,1624,53707.87872
266.0,1788,54140.943523
339.0,1833,54585.639375
342.0,2032,55077.072191
239.0,1985,55556.932912
319.0,1705,55969.143829
269.0,1990,56449.306447
331.0,2063,56948.699742
294.0,1960,57421.174122
320.0,2055,57917.353672
346.0,1852,58366.329095
277.0,1764,58792.902757
204.0,1690,59202.635911
400.0,2354,59771.78583
295.0,1258,60074.485555
122.0,1653,60474.250942
257.0,1444,60824.021769
270.0,1601,61210.546109
374.0,2256,61756.566617
286.0,2015,62243.171428
317.0,1919,62708.341078
311.0,2037,63203.535178
328.0,1758,63629.525271
303.0,1496,63987.729118
341.0,1865,64440.030246
317.0,1858,64887.819766
323.0,1899,65347.4528
308.0,2121,65860.986024
361.0,2097,66370.317423
370.0,1894,66828.038772
347.0,2364,67399.356766
304.0,1775,67827.054447
326.0,1732,68244.978653
293.0,1800,68678.190127
353.0,1358,69004.53303
366.0,1990,69484.044764
305.0,2141,70001.110441
316.0,1858,70451.826474
379.0,1907,70912.477452
433.0,2759,71581.178936
407.0,2222,72118.45136
350.0,1548,72490.944483
250.0,1994,72973.808438
354.0,2116,73486.229152
305.0,1594,73869.157376
348.0,1874,74321.123864
368.0,2248,74863.55285
360.0,1818,75299.153028
318.0,1654,75697.121806
289.0,1167,75974.322053
376.0,2136,76489.955657
399.0,2121,77000.136663
325.0,1620,77387.744894
417.0,2216,77924.543509
369.0,1688,78330.298883
337.0,1616,78717.774729
341.0,1756,79141.090007
413.0,2644,79779.553816
374.0,1916,80240.728539
389.0,1807,80676.311032
336.0,1288,80985.117455
420.0,2274,81533.569816
369.0,1859,81980.567928
408.0,2310,82539.101137
384.0,2184,83063.533092
396.0,2228,83602.805515
368.0,2250,84146.967006
298.0,2299,84703.723821
410.0,3837,85632.713798
398.0,2233,86171.78624
387.0,1981,86648.517412
326.0,1634,87042.367053
421.0,2368,87612.014992
368.0,2090,88115.295914
798.0,6978,89800.799544
268.0,1350,90120.833471
418.0,2762,90789.09726
356.0,1916,91247.845116
409.0,2416,91829.820724
327.0,2026,92317.504887
364.0,2698,92965.757012
401.0,1931,93429.052372
331.0,1913,93889.588569
427.0,2668,94532.703257
424.0,2245,95072.943602
386.0,2308,95628.707655
413.0,2540,96237.343976
178.0,1530,96603.988667
417.0,2035,97093.948342
414.0,2531,97703.761517
349.0,1963,98175.107625
390.0,2596,98801.475086
435.0,4488,99886.061381
393.0,2948,100592.627587
353.0,2473,101186.044547
