# {"t_start": 1574686252.3384135, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
2.0,200,59.093357
1.0,157,94.904972
1.0,173,134.508439
0.0,123,161.940673
0.0,127,189.464629
0.0,129,218.38648
1.0,159,254.501825
0.0,127,282.985905
1.0,177,322.941555
1.0,173,362.147914
2.0,198,408.785145
0.0,129,437.308678
3.0,251,496.888348
0.0,127,525.146281
0.0,127,551.697456
4.0,319,628.82741
0.0,129,657.695621
6.0,401,753.395844
0.0,127,781.904976
0.0,127,808.561855
0.0,129,837.187144
3.0,271,900.094733
5.0,352,984.761771
0.0,127,1013.191262
0.0,129,1041.693517
9.0,404,1138.020762
3.0,248,1195.969615
9.0,396,1290.795938
0.0,129,1319.587072
0.0,127,1346.156825
2.0,202,1393.636193
5.0,352,1477.469155
0.0,129,1504.596864
4.0,297,1576.669208
9.0,404,1674.0923
1.0,155,1709.199968
3.0,248,1768.013318
2.0,202,1814.028368
0.0,129,1842.589158
3.0,272,1906.39671
9.0,404,2003.139341
0.0,129,2031.361892
9.0,404,2128.525254
0.0,129,2156.966233
0.0,129,2185.618706
2.0,202,2231.500914
9.0,404,2327.862422
0.0,129,2356.805594
0.0,129,2385.657571
0.0,127,2413.682235
9.0,380,2504.625503
0.0,129,2533.366471
5.0,350,2615.56575
0.0,129,2644.845295
2.0,202,2692.337171
4.0,297,2761.605016
2.0,202,2807.813999
0.0,127,2836.426887
3.0,248,2894.788432
12.0,493,3013.758
0.0,127,3041.748155
0.0,125,3069.05698
0.0,129,3097.906908
0.0,125,3123.801139
0.0,129,3152.511724
1.0,155,3187.639748
4.0,275,3251.853549
2.0,202,3298.704961
5.0,349,3381.98778
0.0,129,3409.009748
2.0,200,3455.448362
2.0,226,3508.349184
4.0,297,3578.083564
5.0,302,3649.429101
0.0,129,3678.196489
0.0,127,3705.768843
4.0,299,3775.013965
0.0,127,3802.981476
0.0,129,3831.414549
3.0,216,3879.806439
1.0,157,3916.316108
0.0,129,3943.195549
12.0,314,4018.865043
5.0,350,4100.821643
