# {"t_start": 1574858892.3190718, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
261.0,1589,404.751481
0.0,127,433.590153
2.0,200,483.035685
412.0,2212,1081.9672
4.0,297,1160.000895
369.0,1794,1639.478753
384.0,2169,2220.628888
0.0,125,2250.732723
5.0,347,2341.302492
0.0,129,2372.467933
362.0,1686,2824.38143
2.0,220,2879.212411
391.0,1935,3397.838427
396.0,2608,4097.613078
412.0,2334,4721.238409
4.0,297,4797.516448
399.0,4114,5902.028532
1.0,173,5944.498328
0.0,129,5975.575481
413.0,2303,6592.342174
423.0,2445,7244.922622
309.0,1810,7728.679423
344.0,2148,8305.213549
0.0,125,8334.972758
7.0,320,8416.456104
413.0,2474,9078.417879
414.0,2762,9817.066498
424.0,2537,10493.290924
16.0,648,10663.388239
299.0,1477,11057.920391
424.0,2936,11845.489359
407.0,4869,13150.635309
393.0,2930,13935.268487
433.0,3250,14805.602383
195.0,1708,15262.580001
403.0,2446,15917.91292
351.0,2177,16499.489919
405.0,2342,17126.903991
139.0,1613,17556.664818
31.0,1009,17825.668745
444.0,2646,18535.807759
193.0,1908,19043.272875
373.0,3011,19849.164195
356.0,1909,20358.779231
321.0,2100,20922.216289
79.0,1247,21254.342713
340.0,2059,21801.498386
313.0,1599,22226.171326
373.0,2068,22777.233172
360.0,2100,23338.693995
348.0,1897,23846.461434
364.0,1659,24289.484755
423.0,2577,24979.581772
428.0,3021,25785.903498
387.0,2134,26358.116154
334.0,1925,26870.455785
