# {"t_start": 1574118414.7732296, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
2.0,201,44.41555
0.0,127,66.290711
2.0,227,106.587513
0.0,129,127.034963
0.0,127,148.786899
0.0,127,170.310731
1.0,173,199.960098
0.0,127,221.587813
1.0,175,253.013508
13.0,549,353.253532
0.0,129,375.171393
2.0,202,410.035443
0.0,125,430.98902
0.0,127,452.314438
1.0,173,481.786222
2.0,202,518.083614
0.0,127,537.922707
0.0,127,559.038808
0.0,129,580.822379
0.0,125,601.457185
0.0,129,623.480936
0.0,129,645.286141
2.0,202,679.799608
2.0,202,715.64136
4.0,280,764.885856
0.0,127,786.039778
5.0,350,848.507595
5.0,350,911.847601
2.0,198,945.046153
0.0,129,966.462099
0.0,127,988.277277
0.0,129,1009.673282
1.0,155,1035.483676
6.0,391,1104.690678
0.0,129,1126.368743
1.0,153,1152.020744
2.0,188,1185.042218
0.0,129,1205.432941
10.0,454,1288.311123
1.0,176,1318.19916
3.0,234,1359.148966
1.0,155,1385.112765
3.0,233,1425.274068
13.0,567,1526.721945
4.0,317,1582.802185
7.0,444,1662.700482
8.0,473,1746.649519
12.0,302,1800.797788
13.0,573,1902.381788
13.0,518,1995.981601
12.0,586,2099.879061
5.0,354,2161.876502
9.0,407,2233.362799
9.0,501,2322.092441
16.0,628,2433.175927
16.0,630,2543.242428
12.0,632,2655.382163
12.0,500,2743.007927
7.0,412,2814.6584
9.0,484,2899.241298
14.0,382,2965.878747
19.0,724,3093.944034
13.0,673,3211.736174
14.0,540,3308.33791
14.0,399,3378.287657
16.0,657,3494.72498
15.0,597,3598.063452
22.0,728,3728.250112
19.0,644,3840.851049
11.0,556,3938.251783
14.0,383,4005.177467
15.0,711,4129.589548
14.0,580,4233.316981
23.0,823,4379.301876
15.0,691,4501.03605
28.0,812,4645.399948
22.0,737,4776.475948
19.0,639,4889.388084
30.0,920,5054.210441
26.0,663,5171.029501
22.0,768,5308.030632
23.0,783,5446.675601
17.0,677,5565.063399
30.0,873,5720.889951
20.0,801,5862.355969
28.0,1029,6044.178267
25.0,772,6180.647951
18.0,683,6301.48005
22.0,785,6438.972778
29.0,835,6587.822078
20.0,606,6694.765094
22.0,919,6859.278994
30.0,782,6996.698193
30.0,917,7158.110633
26.0,746,7290.642057
31.0,880,7444.94996
44.0,1154,7649.863758
33.0,821,7795.079304
32.0,893,7953.783609
39.0,948,8120.294988
42.0,1115,8318.38267
31.0,968,8489.019805
49.0,1322,8725.196117
35.0,975,8898.820002
56.0,1216,9112.079162
61.0,1090,9305.986478
51.0,1172,9515.779439
47.0,1121,9713.524594
87.0,1546,9986.241319
61.0,1140,10187.411343
98.0,1408,10437.868697
40.0,1106,10635.804539
64.0,1343,10872.179611
73.0,1406,11122.16763
78.0,1222,11337.652587
71.0,1312,11572.049897
39.0,789,11710.532006
53.0,1122,11908.076024
82.0,1312,12139.242266
43.0,884,12296.83459
112.0,1635,12589.34707
162.0,1702,12893.929466
161.0,1980,13246.271706
218.0,1301,13476.463093
68.0,1345,13716.874543
127.0,1544,13988.579131
102.0,1355,14225.510321
131.0,1754,14538.218702
83.0,1480,14800.236364
140.0,1657,15094.248577
98.0,1483,15357.64374
258.0,1675,15654.858168
67.0,783,15793.215827
118.0,1450,16048.660801
175.0,1995,16402.112734
108.0,1370,16644.123898
125.0,1620,16930.427752
131.0,1701,17232.082657
317.0,1938,17576.477453
119.0,1393,17821.041467
238.0,1690,18121.970708
349.0,1751,18429.893178
98.0,1266,18652.208249
362.0,1881,18983.612481
331.0,1698,19286.123242
127.0,1685,19584.610528
144.0,1419,19836.187655
231.0,1437,20089.831639
357.0,2153,20468.213398
266.0,1779,20784.667907
353.0,1909,21122.912066
324.0,1944,21467.744207
228.0,1705,21767.113942
378.0,2135,22146.517963
392.0,2159,22529.202107
186.0,1899,22867.230918
277.0,1675,23161.479892
384.0,1863,23492.99942
294.0,2005,23848.5932
320.0,1518,24117.601637
335.0,1854,24446.570288
357.0,1681,24743.795831
178.0,1829,25066.067093
410.0,2971,25589.225552
384.0,2729,26068.211494
347.0,3240,26640.571256
392.0,2406,27064.707393
382.0,2012,27419.582442
378.0,2530,27864.865592
416.0,2448,28294.207884
301.0,1732,28598.487133
379.0,2156,28975.317098
199.0,1662,29267.920865
361.0,1771,29581.737955
371.0,2522,30024.499863
410.0,2550,30472.817966
430.0,3101,31019.578993
388.0,2015,31378.534855
350.0,1967,31726.991128
340.0,2127,32104.611433
430.0,2107,32477.238938
358.0,1862,32807.595245
419.0,2103,33179.38792
424.0,2999,33708.937147
396.0,2168,34093.207178
403.0,2459,34527.035028
421.0,2427,34955.52141
424.0,2504,35397.079191
359.0,1930,35735.514397
386.0,2235,36130.054457
321.0,2147,36506.964973
345.0,1907,36839.09594
382.0,2159,37218.335397
