# {"t_start": 1574172124.3521178, "env_id": "BreakoutNoFrameskip-v4"} 
r,l,t
0.0,125,35.250259
1.0,155,63.020815
0.0,127,84.851322
0.0,129,106.847195
4.0,300,160.315752
2.0,224,200.183089
1.0,173,230.971941
1.0,175,262.638589
3.0,250,306.65125
0.0,127,328.684261
0.0,125,350.095153
0.0,129,372.515727
4.0,299,427.091148
0.0,127,448.270952
4.0,319,505.919494
0.0,127,526.459293
4.0,321,585.61038
2.0,200,619.932514
2.0,200,656.139211
9.0,404,729.575627
0.0,125,750.474085
2.0,200,784.962139
9.0,404,857.519862
3.0,248,901.659709
0.0,127,922.662519
0.0,129,944.672102
6.0,397,1018.652237
5.0,350,1081.311016
5.0,350,1145.501929
5.0,350,1209.350781
0.0,127,1230.870331
2.0,202,1266.144046
0.0,127,1288.087788
5.0,350,1351.667284
2.0,202,1386.035787
0.0,129,1407.311213
2.0,202,1441.347629
2.0,183,1474.208106
6.0,359,1537.867802
5.0,350,1601.018986
0.0,127,1622.192746
2.0,184,1653.887238
0.0,127,1675.607186
11.0,499,1766.807819
11.0,428,1844.183487
1.0,155,1870.080221
7.0,418,1945.247991
4.0,264,1992.327438
0.0,129,2013.747211
14.0,377,2081.840228
11.0,271,2129.474876
11.0,412,2203.251293
8.0,279,2252.747929
23.0,682,2374.915602
3.0,233,2415.447672
2.0,183,2448.094095
8.0,437,2525.000436
13.0,508,2615.915689
19.0,658,2735.067468
7.0,394,2803.999132
12.0,497,2891.795314
11.0,408,2966.615949
15.0,657,3083.420266
13.0,471,3164.704175
13.0,603,3271.943269
12.0,593,3377.156114
14.0,691,3501.531785
7.0,345,3560.979419
22.0,505,3649.133462
12.0,552,3747.44367
9.0,468,3830.591224
22.0,707,3956.780394
13.0,597,4063.936174
17.0,641,4180.659436
28.0,622,4288.351437
15.0,402,4359.576334
22.0,713,4489.10739
28.0,746,4623.171505
14.0,647,4737.795624
31.0,892,4900.280016
13.0,595,5007.13912
11.0,495,5094.999568
9.0,411,5168.114127
24.0,711,5294.031565
31.0,808,5438.255512
11.0,530,5530.99146
32.0,821,5680.73976
18.0,684,5802.880351
13.0,632,5914.735296
23.0,729,6043.252014
33.0,916,6206.003391
28.0,864,6362.887591
18.0,718,6492.811572
25.0,790,6633.911479
24.0,716,6759.827874
40.0,1022,6943.367991
24.0,841,7094.332251
18.0,729,7225.075186
30.0,701,7349.460118
28.0,862,7506.376404
34.0,832,7655.35607
21.0,820,7802.795631
30.0,1010,7981.616091
36.0,922,8147.055551
28.0,929,8314.615246
66.0,1277,8542.631948
50.0,1074,8732.569885
45.0,1369,8974.707374
63.0,1321,9210.752368
38.0,947,9379.979904
56.0,1247,9602.359965
42.0,1196,9815.247798
57.0,1171,10025.501638
59.0,1296,10255.847623
37.0,920,10421.439764
38.0,973,10594.638844
98.0,1257,10822.42732
80.0,771,10958.459439
71.0,1496,11226.179934
44.0,1131,11427.339166
73.0,1419,11682.483725
49.0,1028,11866.267572
44.0,1058,12053.647456
73.0,1228,12275.404423
50.0,1161,12482.936514
55.0,1053,12670.863445
131.0,1670,12970.172488
92.0,1168,13178.20716
128.0,1774,13495.675222
78.0,1416,13747.060173
343.0,1674,14048.212389
88.0,1283,14277.732289
132.0,1467,14537.592594
121.0,1735,14845.349929
41.0,853,14997.004578
95.0,1747,15309.139373
246.0,1497,15575.791538
160.0,1749,15890.03265
91.0,1283,16117.891934
56.0,810,16263.927252
160.0,1621,16553.243813
139.0,1528,16826.570667
41.0,918,16989.051363
162.0,1778,17304.187411
351.0,1873,17637.899831
76.0,1301,17870.928391
142.0,1596,18153.859705
153.0,1460,18415.316468
254.0,2001,18773.12356
151.0,1552,19052.519922
328.0,1638,19342.523268
175.0,1490,19609.144274
307.0,1621,19896.960133
311.0,1806,20218.056955
278.0,1665,20514.772642
138.0,1644,20809.035852
338.0,1997,21165.57937
307.0,1983,21518.239407
325.0,1803,21839.06316
371.0,1766,22155.035927
336.0,2031,22516.380469
251.0,1676,22813.467368
283.0,1695,23117.087413
233.0,2038,23479.767635
240.0,1885,23818.687995
320.0,2327,24235.603935
368.0,1761,24549.991592
370.0,2096,24921.65515
276.0,1818,25244.808698
156.0,1759,25559.043484
336.0,2078,25927.728234
411.0,2501,26373.919855
391.0,2185,26762.627646
346.0,1958,27108.255357
359.0,1828,27433.291821
417.0,2993,27962.807336
309.0,1992,28319.143683
391.0,1931,28659.147292
212.0,1627,28949.187329
380.0,2115,29323.148751
367.0,2759,29814.287462
336.0,2331,30225.779378
345.0,1170,30431.479116
394.0,2052,30794.507304
365.0,1862,31123.891828
370.0,2305,31532.283539
409.0,2202,31920.271275
359.0,1916,32257.75571
387.0,1997,32610.920219
338.0,2413,33034.891799
308.0,1899,33369.940337
403.0,3593,34008.139995
410.0,2470,34444.943336
394.0,2167,34825.875314
484.0,2833,35324.781812
317.0,1736,35629.072047
385.0,2229,36022.659343
384.0,2370,36443.128106
413.0,2523,36889.107082
416.0,2047,37248.107686
