eplenmean,eprewmean,fps,loss/approxkl,loss/clipfrac,loss/policy_entropy,loss/policy_loss,loss/value_loss,misc/explained_variance,misc/nupdates,misc/serial_timesteps,misc/time_elapsed,misc/total_timesteps
126.52,0.0,460,0.0009991328,0.0,1.3853667,-0.0002853062,0.051571578,0.015796661376953125,1,128,26.656804345548153,12288
158.66,0.79,495,0.00041138692,0.0,1.3828266,-0.00027180812,0.029613871,0.013661444187164307,2,256,51.44830624386668,24576
168.6,1.06,499,0.00033261674,0.0,1.3786197,-0.00010223825,0.029086247,0.01308751106262207,3,384,76.0367147512734,36864
175.27,1.24,505,0.0008015439,0.0,1.3791031,-0.00074903923,0.031444,0.021871566772460938,4,512,100.3500413224101,49152
180.74,1.34,509,0.00040179875,0.0,1.3840712,-7.472487e-05,0.03217385,0.03102290630340576,5,640,124.47866707667708,61440
175.26,1.23,514,3.745227e-05,0.0,1.384785,-3.3720848e-05,0.03657809,0.04112815856933594,6,768,148.340831566602,73728
185.18,1.46,510,8.096527e-05,0.0,1.3850099,-0.00013792502,0.036391404,0.05777519941329956,7,896,172.4159736186266,86016
186.57,1.52,507,0.0001018319,0.0,1.3858918,-1.7109416e-05,0.034733463,0.0797569751739502,8,1024,196.63487318903208,98304
178.85,1.32,486,8.493183e-05,0.0,1.3860061,-9.06938e-05,0.035705563,0.10958772897720337,9,1152,221.91347817704082,110592
178.19,1.27,507,0.00017754732,0.0,1.3852962,-0.00015863986,0.032888226,0.14706355333328247,10,1280,246.108475998044,122880
184.58,1.39,508,0.0013169133,0.026672363,1.3809656,-0.0011297069,0.03154269,0.20067250728607178,11,1408,270.2783934995532,135168
177.61,1.23,497,0.0010073296,0.00958252,1.3771696,-0.00048280595,0.029517276,0.30061858892440796,12,1536,294.9562253765762,147456
183.41,1.4,491,0.00048412752,0.0,1.3795018,-0.00036809774,0.033157967,0.37843847274780273,13,1664,319.96797267347574,159744
184.46,1.42,505,0.001471622,0.030151367,1.3667506,-0.0008183482,0.035568174,0.4518418312072754,14,1792,344.2693879120052,172032
190.05,1.55,496,0.00028688883,0.0026855469,1.3647655,-0.00029034738,0.031158874,0.4997715353965759,15,1920,369.0300764106214,184320
203.24,1.97,508,0.0007589455,0.0048828125,1.3634952,-0.00032903606,0.03129694,0.5599721670150757,16,2048,393.1726486980915,196608
196.61,1.82,491,0.00062034855,0.013183594,1.3665065,-0.0006918379,0.02863239,0.6063266694545746,17,2176,418.16529128700495,208896
198.57,1.83,514,0.0010084322,0.0,1.3531892,3.3237917e-05,0.026544116,0.6830671727657318,18,2304,442.0348516218364,221184
192.18,1.67,508,0.0011342874,0.023295086,1.351268,-0.000568516,0.02436612,0.7305164039134979,19,2432,466.2179981097579,233472
201.83,1.91,522,0.00091486075,0.013692221,1.3463547,-0.00018951767,0.02072817,0.7502830773591995,20,2560,489.739647526294,245760
215.23,2.31,500,0.0007127681,0.019449871,1.3377622,-0.0008046294,0.019470667,0.7882182151079178,21,2688,514.2882282286882,258048
204.17,2.05,493,0.0016150987,0.058166504,1.3242873,-0.0009532334,0.017019957,0.8088334798812866,22,2816,539.1924655400217,270336
199.38,1.78,510,0.00074075855,0.001546224,1.3317591,0.00014003759,0.016358428,0.8416593372821808,23,2944,563.2579606324434,282624
196.64,1.79,519,0.0010558786,0.008463542,1.3083785,-0.0005773963,0.017640093,0.8680766820907593,24,3072,586.9088582806289,294912
200.02,1.88,509,0.0003119499,0.006978353,1.311323,-0.00014696665,0.013749066,0.8804377987980843,25,3200,611.0397859327495,307200
209.24,2.2,498,0.0004094789,0.010925293,1.2900746,-0.00018896042,0.011682338,0.8951399549841881,26,3328,635.6986265853047,319488
206.61,2.14,498,0.0009922803,0.025309248,1.2849476,-0.00046663074,0.009749051,0.9155237749218941,27,3456,660.3338409140706,331776
201.66,2.02,519,0.0010130027,0.015197755,1.2778084,-0.00049975526,0.008611046,0.9268335700035095,28,3584,683.983353022486,344064
206.56,2.16,509,0.0010224598,0.037577312,1.2799515,-0.00062256295,0.0087697655,0.9305888414382935,29,3712,708.1058881245553,356352
216.08,2.33,516,0.0018652108,0.042338055,1.2709794,-0.00088702154,0.0070570186,0.9409542717039585,30,3840,731.9099564217031,368640
209.19,2.05,505,0.0004389855,0.008402507,1.2791008,-0.00013661956,0.006046509,0.9417975209653378,31,3968,756.2164405845106,380928
215.04,2.26,516,0.00059883646,0.0092976885,1.2602211,-0.00011421379,0.0058273105,0.9438126385211945,32,4096,780.016523655504,393216
205.95,2.11,509,0.0023406658,0.043192543,1.2854847,-0.0005787716,0.00464108,0.963449016213417,33,4224,804.1375690586865,405504
202.49,1.92,520,0.0014656796,0.021443686,1.2672929,-0.0007915485,0.005627821,0.9494407400488853,34,4352,827.7673532180488,417792
194.53,1.72,515,0.0015139298,0.021321615,1.2811513,-0.00031725015,0.005178721,0.9573755413293839,35,4480,851.5959995388985,430080
215.42,2.36,510,0.0004010236,0.010213217,1.2758477,-0.00037906642,0.006063325,0.9460867382586002,36,4608,875.678707819432,442368
214.97,2.3,515,0.0010624111,0.022684732,1.2954017,-0.00040970408,0.005176351,0.9558652862906456,37,4736,899.535163089633,454656
215.23,2.34,516,0.001366221,0.020121258,1.2841992,-0.0010023648,0.0045648534,0.9609863124787807,38,4864,923.3391050510108,466944
210.84,2.29,495,0.000529588,0.0027262368,1.267187,-0.00021231361,0.004068203,0.9663126729428768,39,4992,948.1518747881055,479232
207.85,2.21,493,0.0018969532,0.033732094,1.2878679,-0.00070396205,0.004783953,0.962542213499546,40,5120,973.0595423318446,491520
235.14,2.88,497,0.0007251008,0.009236654,1.2945086,-0.0004366951,0.0066091605,0.9507537819445133,41,5248,997.7506527155638,503808
241.1,2.96,496,0.0020119161,0.06945801,1.3008133,-0.0012937272,0.0036152478,0.9713591672480106,42,5376,1022.508741658181,516096
225.87,2.67,515,0.00092618586,0.026631674,1.2841474,-0.0009330602,0.005770232,0.9520569406449795,43,5504,1046.336820114404,528384
206.43,2.07,512,0.0014414312,0.025472004,1.2672219,-0.00083522906,0.005112745,0.9576087296009064,44,5632,1070.3147623613477,540672
211.99,2.28,520,0.0016437706,0.047810875,1.2985733,-0.0010173601,0.0039538923,0.9688887502998114,45,5760,1093.9378933869302,552960
211.6,2.36,495,0.0007090282,0.014506022,1.3191494,-0.00024357322,0.0050603813,0.9547066763043404,46,5888,1118.7359303347766,565248
207.48,2.19,507,0.00088887854,0.016113281,1.3253087,-0.00039012407,0.0043263426,0.9629450961947441,47,6016,1142.9452313296497,577536
208.65,2.18,509,0.0002389974,0.0043538413,1.3279198,-0.0004561514,0.0054244227,0.95352952927351,48,6144,1167.057505749166,589824
208.49,2.12,511,0.00023512646,0.002746582,1.3301088,-0.00039389974,0.008377066,0.9366333484649658,49,6272,1191.1043225638568,602112
204.29,1.95,502,0.00040486033,0.0041707354,1.3198446,-0.00062122376,0.005096822,0.9605127014219761,50,6400,1215.578505039215,614400
192.98,1.71,499,0.0004883874,0.012980144,1.326579,-0.0007450421,0.005726592,0.9508402533829212,51,6528,1240.1685375533998,626688
199.87,1.86,508,0.0006709751,0.019022623,1.3307217,-0.0006955383,0.0072439765,0.9447766058146954,52,6656,1264.3463715687394,638976
201.89,1.93,499,0.00094698794,0.029032389,1.3363997,-0.0012913538,0.009654531,0.9267076477408409,53,6784,1288.9378705620766,651264
183.45,1.46,498,0.0007095459,0.018778482,1.3153698,-0.0011242022,0.0061640386,0.9521373361349106,54,6912,1313.56957693398,663552
195.05,1.78,521,0.0016369434,0.06400554,1.3273226,-0.0015614298,0.007888897,0.934663936495781,55,7040,1337.1174802295864,675840
